,Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,rank,click_rate_Josh,purchase_rate_Josh,click_rate_Angkun,purchase_rate_Angkun,click_rate_actual,purchase_rate_actual,click_rate_yushan_logreg,click_rate_yushan_knn,purchase_rate_yushan_logreg,purchase_rate_yushan_knn,click_rate_fangdi_log,click_rate_fangdi_rf,click_rate_fangdi_svm,click_rate_fangdi_knn,click_rate_fangdi_voting,purchase_rate_fangdi_log,purchase_rate_fangdi_rf,purchase_rate_fangdi_svm,purchase_rate_fangdi_knn,purchase_rate_fangdi_voting,ave_Click_pred,ave_Purchase_pred
23,Y,2,1,S,4,0.120311985,0.023010482000000002,0.078448944,0.034471903,0.120481928,0.036144578,0.079618378,0.2,0.027950702999999997,0.0,0.0764257008019354,0.08727233510697235,0.13168755785287248,0.0,0.07246897181308616,0.050180470983027914,0.062399982584034425,0.07889048309857391,0.0,0.04637821159708224,0.09090709972722694,0.04088540964176558
24,Y,2,1,S,5,0.011257198000000001,0.0,0.0632438,0.021518616,0.014492753999999998,0.0,0.033974287,0.0,0.014156373,0.0,0.032547941195372916,0.059229900219975457,0.10966588653078069,0.0,0.04917821553632032,0.021604046111663083,0.041944743780640614,0.06610178558367516,0.0,0.033842191115624566,0.034252331603837095,0.019426290723075924
25,Y,2,1,M,1,0.26365303100000004,0.103829619,0.34179040000000005,0.12574738,-7.0,-7.0,0.511511759,0.5,0.166185532,0.2,0.5152387250507819,0.4400361875181332,0.43502400958697346,0.6,0.49541450530020026,0.3182936705613824,0.2812814225956641,0.2654577795358118,0.12,0.25340431710760364,0.4326099256422288,0.2173975610392616
26,Y,2,1,M,2,0.265066089,0.107040081,0.20457347,0.08155361,-7.0,-7.0,0.298596984,0.2,0.09052225900000001,0.0,0.301735796182885,0.22118762700027045,0.13172837710167887,0.4,0.2628829926353178,0.18866839493861398,0.14362280829229665,0.07860438327752137,0.08000000000000002,0.13582541263419454,0.2716466240457889,0.13246338580772765
27,Y,2,1,M,3,0.186778164,0.026464237999999998,0.14167573,0.052817814000000005,0.2,0.046153846,0.147539507,0.4,0.047351685,0.2,0.14943169741773063,0.11680559025478755,0.1309520805728432,0.0,0.09935484932821134,0.09455052514459451,0.08009182389526534,0.07845080496615,0.0,0.07199570869739952,0.15013873966812954,0.06211456800996496
28,Y,2,1,M,4,0.026598132000000003,0.025408845,0.078448944,0.034471903,0.050632910999999996,0.025316456,0.06573836,0.2,0.024221096,0.1,0.06666495458689523,0.0791420630383299,0.13159730133184627,0.2,0.11770002552759813,0.042674125998625016,0.05564998818986674,0.08011628726199847,0.08000000000000002,0.06848806866236969,0.05953587740630628,0.03698851379712294
29,Y,2,1,M,5,0.0,0.012889886000000001,0.051280837999999995,0.021945367,0.014285714,0.007142857,0.027811045,0.0,0.01224423,0.0,0.028219838374466743,0.05863254329008617,0.11708308074134811,0.0,0.049076820987873554,0.018271122612118284,0.0394226799621957,0.07054177059157382,0.0,0.03327752949410441,0.028665856666138228,0.020706979643578496
30,Y,2,2,S,1,0.243025395,0.115484436,0.33756620000000004,0.06286518,-7.0,-7.0,0.5473469320000001,0.7,0.15538122,0.2,0.5403374898694697,0.4570267703594088,0.594182242641055,0.8,0.5967287879689922,0.3791368185195177,0.30300350102735896,0.35562197024023384,0.6400000000000001,0.41181081500833777,0.44693414680721966,0.23825149388671915
31,Y,2,2,S,2,0.19039885399999998,0.063767568,0.21244012,0.040453277999999995,-7.0,-7.0,0.329579803,0.2,0.08414069199999999,0.0,0.3233720243814712,0.21790135582823164,0.13235990836010136,0.2,0.2170521511264228,0.22904857761045763,0.15294091781653366,0.07945396395710913,0.08000000000000002,0.1305672984372635,0.26531300930242574,0.1324744388567478
32,Y,2,2,S,3,0.081076281,0.0,0.11561300599999999,0.025596313,0.054545455,0.0,0.166570679,0.1,0.043866731,0.0,0.16269137795756147,0.1101637470076907,0.11769160601071905,0.2,0.14740925911793895,0.11630338391775001,0.08005214766467655,0.07053146566526049,0.16000000000000003,0.10424228946249424,0.13012552124131305,0.06005556564560664
33,Y,2,2,S,4,0.129405619,0.019668464,0.07027185,0.016378509,0.115789474,0.031578947,0.07514814,0.0,0.022398464,0.0,0.07321255993939246,0.08140813848307113,0.1316183300043787,0.0,0.07079329611496867,0.052811154664301016,0.06036642735761378,0.0788500184459022,0.0,0.05394063719997691,0.08979361435561589,0.0388111275054787
34,Y,2,2,S,5,0.020216542,0.0,0.041063704,0.010356304,0.012987013,0.0,0.031977734,0.0,0.011312406,0.0,0.031117385134072934,0.052769120026432415,0.11560028104956444,0.0,0.04885654666017024,0.022644684341887687,0.036438002745424164,0.06854616362270925,0.0,0.03659510314589636,0.034020195290126336,0.01759877327182796
35,Y,2,2,M,1,0.26996463,0.12475849900000001,0.31812435,0.062448077000000005,-7.0,-7.0,0.49585669600000004,0.4,0.137045181,0.1,0.5036371224145402,0.44328859054731673,0.41492828569261175,0.4,0.4348135687735524,0.3456623024958517,0.3014140062699573,0.24913740936719062,0.32000000000000006,0.2988882344732279,0.4281867597404642,0.22721999719145225
36,Y,2,2,M,2,0.272471146,0.08715623199999999,0.21244012,0.040453277999999995,-7.0,-7.0,0.285647782,0.0,0.073480139,0.0,0.29204537950057813,0.21735532365505456,0.13133438350097082,0.2,0.2099916357896749,0.20243724340494765,0.15686814377935224,0.07910978306354986,0.16000000000000003,0.1469531216824592,0.2668799077889082,0.12998543954607497
37,Y,2,2,M,3,0.115961677,0.059646492,0.12494641,0.025811305,0.133333333,0.033333333,0.139835171,0.1,0.0380966,0.1,0.14362651141209623,0.11385267727180581,0.13096004390024174,0.2,0.1458483063890461,0.10052779304062466,0.08193462879902257,0.07845317737320136,0.16000000000000003,0.10222625734866972,0.12831900917097552,0.07005137845991181
38,Y,2,2,M,4,0.060656835,0.014760178,0.07027185,0.016378509,0.069306931,0.01980198,0.061994934,0.1,0.019394939,0.0,0.06383381858879468,0.07711057195847369,0.13168482409063034,0.0,0.06751281090882735,0.045104582834192844,0.05421532869605273,0.07804994546246573,0.0,0.04722119268719489,0.0658990398868171,0.03336875713256139
39,Y,2,2,M,5,0.054146925,0.032123255,0.041063704,0.010356304,0.038461537999999997,0.025641026,0.026166874,0.1,0.009780594,0.0,0.026974208343594853,0.05567758059362659,0.11822151146115181,0.0,0.04890607005030365,0.01923733519065281,0.03323502108920664,0.06830966221942264,0.0,0.025570735634694818,0.04074139698430536,0.023594051319964865
40,Y,3,1,S,1,0.294663458,0.094752465,0.39243054,0.094931975,-7.0,-7.0,0.553904786,0.5,0.15321205599999999,0.2,0.5409576233051261,0.4413382075559653,0.43156626358721967,0.2,0.4020287634719661,0.3720877540088836,0.30264746414855137,0.2608222261168169,0.16000000000000003,0.27777135843581047,0.45771601871527284,0.23067493478935874
41,Y,3,1,S,2,0.200836099,0.11147583900000001,0.23839961,0.060494274,-7.0,-7.0,0.335462165,0.4,0.082868488,0.3,0.3239186231965793,0.23125685743494068,0.13343473810561784,0.0,0.16875126980727018,0.22501069104731689,0.15616140851445323,0.08040120360816021,0.0,0.1081340927796166,0.27286843615788003,0.14387910664044254
